time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353238.21,-0.37,-0.02,1.03,-0.8,0.9,25.9,0.91,0.05,0.02,0.41
1697353238.22,-0.44,-0.06,1.06,-0.9,1,25.2,0.91,0.05,0.02,0.41
1697353238.23,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.24,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.25,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.26,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.27,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.28,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.29,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.3,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.31,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.32,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.33,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.34,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.35,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.36,-0.39,-0.03,1,-0.9,1.1,24.5,0.91,0.05,0.02,0.41
1697353238.37,-0.48,-0.06,0.97,0.8,1.3,15.7,0.9,0.05,0.02,0.43
1697353238.38,-0.45,-0.09,0.93,1,1,15.4,0.9,0.05,0.02,0.44
1697353238.39,-0.47,-0.11,1,1.4,0.8,14.7,0.9,0.05,0.02,0.44
1697353238.4,-0.47,-0.11,1,1.4,0.8,14.7,0.9,0.05,0.02,0.44
1697353238.41,-0.48,-0.09,1.09,0.6,0.3,13.2,0.9,0.05,0.02,0.44
1697353238.42,-0.44,-0.07,0.89,0,0.2,12.5,0.9,0.05,0.02,0.44
1697353238.43,-0.49,-0.07,1.02,0,0.1,11.8,0.9,0.05,0.02,0.44
1697353238.44,-0.49,-0.07,1.02,0,0.1,11.8,0.9,0.05,0.02,0.44
1697353238.45,-0.46,-0.05,0.98,0.2,0.2,10.3,0.89,0.05,0.02,0.44
1697353238.46,-0.47,-0.06,0.95,0.2,0.2,10.3,0.89,0.05,0.02,0.44
1697353238.47,-0.47,-0.06,0.95,0.2,0.4,9.8,0.89,0.05,0.02,0.45
1697353238.48,-0.5,-0.09,1.08,0.1,0.4,9.2,0.89,0.05,0.02,0.45
1697353238.49,-0.48,-0.1,1.07,-0.1,0.6,8.6,0.89,0.05,0.02,0.45
1697353238.5,-0.48,-0.1,1.07,-0.5,0.8,8,0.89,0.05,0.02,0.45
1697353238.51,-0.47,-0.1,1.02,-0.5,1,7.3,0.89,0.05,0.02,0.45
1697353238.52,-0.47,-0.1,1.02,-0.3,1.1,6.9,0.89,0.05,0.02,0.45
1697353238.53,-0.47,-0.09,1.04,0,0.7,6.5,0.89,0.05,0.02,0.45
1697353238.54,-0.41,-0.11,1.02,0.1,0.5,6.1,0.89,0.05,0.02,0.45
1697353238.55,-0.44,-0.14,0.97,0.2,0.2,5.6,0.89,0.05,0.02,0.45
1697353238.56,-0.44,-0.13,1.09,0,0,5,0.89,0.05,0.02,0.45
1697353238.57,-0.39,-0.09,0.94,0.1,-0.3,4.4,0.89,0.05,0.02,0.45
1697353238.58,-0.37,-0.06,1.04,0.3,-0.6,4,0.89,0.05,0.02,0.45
1697353238.59,-0.36,-0.07,0.98,0.1,-0.8,3.7,0.89,0.05,0.02,0.45
1697353238.6,-0.37,0.1,1.01,0.1,-0.5,3.3,0.89,0.05,0.02,0.45
1697353238.61,-0.29,-0.14,0.9,0.1,-0.5,3.3,0.89,0.05,0.02,0.45
1697353238.62,-0.37,-0.08,1.05,-0.1,-0.1,2.3,0.89,0.05,0.02,0.45
1697353238.63,-0.36,-0.07,0.96,0,0.1,1.6,0.89,0.05,0.02,0.45
1697353238.64,-0.33,-0.05,1.01,0.2,0.1,1.2,0.89,0.05,0.02,0.45
1697353238.65,-0.3,-0.05,1,0.6,0,0.7,0.89,0.05,0.02,0.45
1697353238.66,-0.26,-0.06,1.06,0.5,-0.2,0.5,0.89,0.05,0.02,0.45
1697353238.67,-0.16,-0.05,1.03,0.6,-0.6,0.4,0.89,0.05,0.02,0.45
1697353238.68,-0.08,-0.13,0.85,0.2,-1.4,0.3,0.89,0.05,0.02,0.45
1697353238.69,-0.1,0,1.1,0.1,-1.6,0.2,0.89,0.05,0.02,0.45
1697353238.7,-0.07,-0.03,1.02,-0.2,-1.5,0.4,0.89,0.05,0.02,0.45
1697353238.71,-0.09,-0.02,0.97,-0.3,-1.3,0.5,0.89,0.05,0.02,0.45
1697353238.72,-0.05,0.01,0.95,-0.2,-1.3,0.4,0.89,0.05,0.02,0.45
1697353238.73,0.04,-0.03,0.99,-0.2,-0.8,0.4,0.89,0.05,0.02,0.45
1697353238.74,0.04,-0.03,0.99,-0.2,-0.8,0.4,0.89,0.05,0.02,0.45
1697353238.75,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.76,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.77,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.78,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.79,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.8,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.81,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.82,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.83,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.84,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.85,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
