time,can_rx_timeout,can_rx_timeout_code,vcu_status,vcu_error_code,rear_sensor_status,rear_sensor_error_code,bms_error_code,inverter_state,inverter_vsm_state,inverter_post_fault,inverter_run_fault
1697350726.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350727.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350728.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350729.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350730.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
