time,status,serivce used,longitude,latitude,covarience[0],covarience[1],covarience[2],covarience[3],covarience[4],covarience[5],covarience[6],covarience[7],covarience[8],covarience type,altitude,velocity_x,velocity_y
1697351318.35,NO_FIX,1,121.418488,25.038040,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351319.35,NO_FIX,1,121.418488,25.038040,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351320.35,NO_FIX,1,121.418487,25.038040,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351321.35,NO_FIX,1,121.418487,25.038040,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351322.35,NO_FIX,1,121.418487,25.038040,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351323.35,NO_FIX,1,121.418488,25.038039,42.300000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351324.35,NO_FIX,1,121.418489,25.038039,42.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351325.35,NO_FIX,1,121.418489,25.038039,42.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351326.35,NO_FIX,1,121.418488,25.038039,42.700000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351327.35,NO_FIX,1,121.418489,25.038039,43.000000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351328.35,NO_FIX,1,121.418489,25.038040,43.200000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351329.35,NO_FIX,1,121.418489,25.038040,43.300000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351330.35,NO_FIX,1,121.418489,25.038040,43.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351331.35,NO_FIX,1,121.418489,25.038040,43.700000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351332.35,NO_FIX,1,121.418490,25.038040,43.900000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351333.35,NO_FIX,1,121.418490,25.038040,44.100000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351334.35,NO_FIX,1,121.418491,25.038040,44.200000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351335.35,NO_FIX,1,121.418492,25.038040,44.200000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351336.35,NO_FIX,1,121.418492,25.038040,44.300000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351337.35,NO_FIX,1,121.418492,25.038040,44.400000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351338.35,NO_FIX,1,121.418493,25.038040,44.500000,8.065600,0.000000,0.000000,0.000000,8.065600,0.000000,0.000000,0.000000,129.049600,APPROXIMATED,nan,nan
1697351339.35,NO_FIX,1,121.418494,25.038040,44.500000,8.526400,0.000000,0.000000,0.000000,8.526400,0.000000,0.000000,0.000000,136.422400,APPROXIMATED,nan,nan
1697351340.35,NO_FIX,1,121.418494,25.038040,44.400000,8.526400,0.000000,0.000000,0.000000,8.526400,0.000000,0.000000,0.000000,136.422400,APPROXIMATED,nan,nan
1697351341.35,FIX,1,121.418494,25.038040,44.300000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351342.35,FIX,1,121.418494,25.038040,44.300000,0.007056,0.000000,0.000000,0.000000,0.007056,0.000000,0.000000,0.000000,0.112896,APPROXIMATED,nan,nan
1697351343.35,FIX,1,121.418495,25.038040,44.400000,0.007056,0.000000,0.000000,0.000000,0.007056,0.000000,0.000000,0.000000,0.112896,APPROXIMATED,nan,nan
1697351344.35,FIX,1,121.418495,25.038041,44.400000,0.007056,0.000000,0.000000,0.000000,0.007056,0.000000,0.000000,0.000000,0.112896,APPROXIMATED,nan,nan
1697351345.35,FIX,1,121.418494,25.038040,44.000000,0.007056,0.000000,0.000000,0.000000,0.007056,0.000000,0.000000,0.000000,0.112896,APPROXIMATED,nan,nan
1697351346.35,FIX,1,121.418494,25.038040,43.900000,0.007056,0.000000,0.000000,0.000000,0.007056,0.000000,0.000000,0.000000,0.112896,APPROXIMATED,nan,nan
1697351347.35,FIX,1,121.418494,25.038039,43.900000,0.007056,0.000000,0.000000,0.000000,0.007056,0.000000,0.000000,0.000000,0.112896,APPROXIMATED,nan,nan
1697351348.35,FIX,1,121.418494,25.038039,43.800000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351349.35,FIX,1,121.418495,25.038040,43.800000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351350.35,FIX,1,121.418495,25.038039,43.800000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
