time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697350723.75,51.12,0.51,0.33,0.00,0.41
1697350723.85,51.12,0.51,0.33,0.00,0.41
1697350723.95,51.12,0.51,0.33,0.00,0.41
1697350724.05,51.12,0.51,0.33,0.00,0.41
1697350724.15,51.12,0.51,0.33,0.00,0.41
1697350724.25,51.12,0.51,0.33,0.00,0.41
1697350724.35,52.58,0.49,0.33,0.00,0.41
1697350724.45,52.58,0.49,0.33,0.00,0.41
1697350724.55,52.58,0.49,0.33,0.00,0.41
1697350724.65,52.58,0.49,0.33,0.00,0.41
1697350724.75,52.58,0.49,0.33,0.00,0.41
1697350724.85,52.58,0.49,0.33,0.00,0.41
1697350724.95,52.58,0.49,0.33,0.00,0.41
1697350725.05,52.58,0.49,0.33,0.00,0.41
1697350725.15,52.58,0.49,0.33,0.00,0.41
1697350725.25,52.58,0.49,0.33,0.00,0.41
1697350725.35,51.61,0.49,0.33,0.00,0.41
1697350725.45,51.61,0.49,0.33,0.00,0.41
1697350725.55,51.61,0.49,0.33,0.00,0.41
1697350725.65,51.61,0.49,0.33,0.00,0.41
1697350725.75,51.61,0.49,0.33,0.00,0.41
1697350725.85,51.61,0.49,0.33,0.00,0.41
1697350725.95,51.61,0.49,0.33,0.00,0.41
1697350726.05,51.61,0.49,0.33,0.00,0.41
1697350726.15,51.61,0.49,0.33,0.00,0.41
1697350726.25,51.61,0.49,0.33,0.00,0.41
1697350726.35,51.12,0.50,0.33,0.00,0.41
1697350726.45,51.12,0.50,0.33,0.00,0.41
1697350726.55,51.12,0.50,0.33,0.00,0.41
1697350726.65,51.12,0.50,0.33,0.00,0.41
1697350726.75,51.12,0.50,0.33,0.00,0.41
1697350726.85,51.12,0.50,0.33,0.00,0.41
1697350726.95,51.12,0.50,0.33,0.00,0.41
1697350727.05,51.12,0.50,0.33,0.00,0.41
1697350727.15,51.12,0.50,0.33,0.00,0.41
1697350727.25,51.12,0.50,0.33,0.00,0.41
1697350727.35,51.12,0.50,0.33,0.00,0.41
1697350727.45,51.12,0.50,0.33,0.00,0.41
1697350727.55,51.12,0.50,0.33,0.00,0.41
1697350727.65,51.12,0.50,0.33,0.00,0.41
1697350727.75,51.12,0.50,0.33,0.00,0.41
1697350727.85,51.12,0.50,0.33,0.00,0.41
1697350727.95,51.12,0.50,0.33,0.00,0.41
1697350728.05,51.12,0.50,0.33,0.00,0.41
1697350728.15,51.12,0.50,0.33,0.00,0.41
1697350728.25,51.12,0.50,0.33,0.00,0.41
1697350728.35,51.12,0.50,0.33,0.00,0.41
1697350728.45,50.63,0.53,0.33,0.00,0.41
1697350728.55,50.63,0.53,0.33,0.00,0.41
1697350728.65,50.63,0.53,0.33,0.00,0.41
1697350728.75,50.63,0.53,0.33,0.00,0.41
1697350728.85,50.63,0.53,0.33,0.00,0.41
1697350728.95,50.63,0.53,0.33,0.00,0.41
1697350729.05,50.63,0.53,0.33,0.00,0.41
1697350729.15,50.63,0.53,0.33,0.00,0.41
1697350729.25,50.63,0.53,0.33,0.00,0.41
1697350729.35,51.61,0.50,0.33,0.00,0.41
1697350729.45,51.61,0.50,0.33,0.00,0.41
1697350729.55,51.61,0.50,0.33,0.00,0.41
1697350729.65,51.61,0.50,0.33,0.00,0.41
1697350729.75,51.61,0.50,0.33,0.00,0.41
1697350729.85,51.61,0.50,0.33,0.00,0.41
1697350729.95,51.61,0.50,0.33,0.00,0.41
1697350730.05,51.61,0.50,0.33,0.00,0.41
1697350730.15,51.61,0.50,0.33,0.00,0.41
1697350730.25,51.61,0.50,0.33,0.00,0.41
1697350730.35,52.10,0.51,0.33,0.00,0.41
1697350730.45,52.10,0.51,0.33,0.00,0.41
1697350730.55,52.10,0.51,0.33,0.00,0.41
1697350730.65,52.10,0.51,0.33,0.00,0.41
1697350730.75,52.10,0.51,0.33,0.00,0.41
1697350730.85,52.10,0.51,0.33,0.00,0.41
1697350730.95,52.10,0.51,0.33,0.00,0.41
1697350731.05,52.10,0.51,0.33,0.00,0.41
1697350731.15,52.10,0.51,0.33,0.00,0.41
1697350731.25,52.10,0.51,0.33,0.00,0.41
1697350731.35,51.12,0.49,0.33,0.00,0.41
1697350731.45,51.12,0.49,0.33,0.00,0.41
1697350731.55,51.12,0.49,0.33,0.00,0.41
1697350731.65,51.12,0.49,0.33,0.00,0.41
1697350731.75,51.12,0.49,0.33,0.00,0.41
1697350731.85,51.12,0.49,0.33,0.00,0.41
1697350731.95,51.12,0.49,0.33,0.00,0.41
1697350732.05,51.12,0.49,0.33,0.00,0.41
1697350732.15,51.12,0.49,0.33,0.00,0.41
1697350732.25,51.12,0.49,0.33,0.00,0.41
1697350732.35,51.12,0.50,0.33,0.00,0.41
1697350732.45,51.12,0.50,0.33,0.00,0.41
1697350732.55,51.12,0.50,0.33,0.00,0.41
1697350732.65,51.12,0.50,0.33,0.00,0.41
1697350732.75,51.12,0.50,0.33,0.00,0.41
